id,diffs,name
1001368!item.en-US,"{""review_count"": {""old"": ""1838"", ""new"": ""1839""}, ""review_ratings"": {""old"": ""4.8368000984191895"", ""new"": ""4.836900234222412""}}","Kirkland Signature, Organic Quinoa, 4.5 lbs"
1002373!item.en-US,"{""review_count"": {""old"": ""4128"", ""new"": ""4129""}, ""review_ratings"": {""old"": ""4.646299839019775"", ""new"": ""4.646399974822998""}}","Kirkland Signature, Organic Almond Beverage, Vanilla, 32 fl oz, 6-Count"
1010278!item.en-US,"{""review_count"": {""old"": ""1081"", ""new"": ""1082""}, ""review_ratings"": {""old"": ""4.352499961853027"", ""new"": ""4.350299835205078""}}","Caboo Bamboo Bath Tissue, 2-Ply, 400 Sheets, 24 Rolls"
1012553!item.en-US,"{""review_count"": {""old"": ""1964"", ""new"": ""1965""}, ""review_ratings"": {""old"": ""4.5518999099731445"", ""new"": ""4.552199840545654""}}","Great Southern Grass Fed Beef, ABF NY Strip CC Steak,(14/12 Oz. Per Steak), 14 Total Packs, 10.5 Lbs. Total"
1022894!item.en-US,"{""review_count"": {""old"": ""114"", ""new"": ""115""}, ""review_ratings"": {""old"": ""4.7895002365112305"", ""new"": ""4.782599925994873""}}","Winco 9-Inch Non-Slip Locking Tongs, Stainless Steel, 4-count"
1032932!item.en-US,"{""review_count"": {""old"": ""1741"", ""new"": ""1743""}, ""review_ratings"": {""old"": ""4.720300197601318"", ""new"": ""4.720600128173828""}}","Kirkland Signature Organic Raw Honey, 24 oz, 3-count"
1045706!item.en-US,"{""review_count"": {""old"": ""1606"", ""new"": ""1607""}, ""review_ratings"": {""old"": ""4.857399940490723"", ""new"": ""4.857500076293945""}}","Kirkland Signature, Organic Virgin Coconut Oil, 84 fl oz"
1048072!item.en-US,"{""review_count"": {""old"": ""31"", ""new"": ""32""}, ""review_ratings"": {""old"": ""3.80649995803833"", ""new"": ""3.8438000679016113""}}","Kirkland Signature Organic Greek Yogurt, 48 oz"
1050557!item.en-US,"{""review_count"": {""old"": ""4934"", ""new"": ""4935""}, ""review_ratings"": {""old"": ""4.737500190734863"", ""new"": ""4.737400054931641""}}","Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz"
105508!item.en-US,"{""review_count"": {""old"": ""16"", ""new"": ""17""}, ""review_ratings"": {""old"": ""4.875"", ""new"": ""4.64709997177124""}}","Hershey's, Cookies N' Creme, 1.55 oz, 36-count"
1055688!item.en-US,"{""review_count"": {""old"": ""319"", ""new"": ""320""}, ""review_ratings"": {""old"": ""4.570499897003174"", ""new"": ""4.571899890899658""}}","Pringles Potato Chips, Original, 0.67 oz, 60-count"
1055728!item.en-US,"{""review_count"": {""old"": ""432"", ""new"": ""433""}, ""review_ratings"": {""old"": ""4.606500148773193"", ""new"": ""4.602799892425537""}}","Mott's Fruit Snacks, Assorted Fruit, 0.8 oz, 90-count"
1072687!item.en-US,"{""review_count"": {""old"": ""1364"", ""new"": ""1365""}, ""review_ratings"": {""old"": ""4.700099945068359"", ""new"": ""4.700399875640869""}}","Pure Vanilla Extract, 16 fl oz"
1079891!item.en-US,"{""review_count"": {""old"": ""942"", ""new"": ""943""}, ""review_ratings"": {""old"": ""4.507400035858154"", ""new"": ""4.503699779510498""}}","Marathon Dinner Napkin, 1/8 Fold, 2-Ply, 300-count, 3-pack"
1082839!item.en-US,"{""review_count"": {""old"": ""1202"", ""new"": ""1204""}, ""review_ratings"": {""old"": ""4.708799839019775"", ""new"": ""4.7093000411987305""}}","FITCRUNCH Protein Bars, 16g Protein, Chocolate Peanut Butter, 1.62 oz, 18-count"
1083117!item.en-US,"{""review_count"": {""old"": ""876"", ""new"": ""877""}, ""review_ratings"": {""old"": ""4.811600208282471"", ""new"": ""4.8119001388549805""}}","Rodelle, Gourmet Baking Cocoa Powder, 25 oz"
1084023!item.en-US,"{""review_count"": {""old"": ""2973"", ""new"": ""2978""}, ""review_ratings"": {""old"": ""4.64139986038208"", ""new"": ""4.642000198364258""}}","La Grande Galette French Butter Cookies, 1.3 lb, 6-pack"
1085910!item.en-US,"{""review_count"": {""old"": ""663"", ""new"": ""664""}, ""review_ratings"": {""old"": ""4.763199806213379"", ""new"": ""4.763599872589111""}}","OREO Chocolate Sandwich Cookies, 2.4 oz, 30-count"
1089787!item.en-US,"{""review_count"": {""old"": ""11211"", ""new"": ""11213""}}","Kirkland Signature Flex-Tech 13-Gallon Kitchen Trash Bag, 200-count"
1091342!item.en-US,"{""review_count"": {""old"": ""652"", ""new"": ""653""}, ""review_ratings"": {""old"": ""4.691699981689453"", ""new"": ""4.692200183868408""}}","Acetum Organic Apple Cider Vinegar with the Mother, 128 fl. oz."
1093993!item.en-US,"{""review_count"": {""old"": ""1138"", ""new"": ""1139""}, ""review_ratings"": {""old"": ""4.704699993133545"", ""new"": ""4.704999923706055""}}","Kleenex Ultra Slim Wallet Facial Tissue, 3-Ply, 10-count, 36-pack"
1098446!item.en-US,"{""review_count"": {""old"": ""3886"", ""new"": ""3890""}, ""review_ratings"": {""old"": ""4.811100006103516"", ""new"": ""4.811299800872803""}}","San Francisco French Roast Whole Bean Coffee 3 lb, 2-pack"
1102099!item.en-US,"{""review_count"": {""old"": ""2625"", ""new"": ""2626""}, ""review_ratings"": {""old"": ""4.670100212097168"", ""new"": ""4.670199871063232""}}","Savanna Orchards Honey Roasted Nut & Pistachios 30 oz, 2-pack"
1104304!item.en-US,"{""review_count"": {""old"": ""986"", ""new"": ""988""}, ""review_ratings"": {""old"": ""4.7393999099731445"", ""new"": ""4.7399001121521""}}","Kirkland Signature Chicken Meal & Rice Formula Dog Biscuits, 15 lbs"
1109404!item.en-US,"{""review_count"": {""old"": ""46"", ""new"": ""49""}, ""review_ratings"": {""old"": ""4.565199851989746"", ""new"": ""4.591800212860107""}}","Kirkland Signature Organic Almond Butter, Creamy, 27 oz"
1111161!item.en-US,"{""review_count"": {""old"": ""4206"", ""new"": ""4213""}, ""review_ratings"": {""old"": ""4.843999862670898"", ""new"": ""4.844099998474121""}}","Dixie Ultra 10-1/16"" Paper Plate, 186-count"
1118518!item.en-US,"{""review_count"": {""old"": ""5266"", ""new"": ""5267""}, ""review_ratings"": {""old"": ""4.530200004577637"", ""new"": ""4.530300140380859""}}",Rastelli's Connoisseur Gift Crate
1123591!item.en-US,"{""review_count"": {""old"": ""733"", ""new"": ""734""}, ""review_ratings"": {""old"": ""4.600299835205078"", ""new"": ""4.595399856567383""}}","Nature's Garden Organic Trail Mix Snack Packs, Variety Pack, 1.2 oz, 24-count"
11357!item.en-US,"{""review_count"": {""old"": ""2272"", ""new"": ""2271""}, ""review_ratings"": {""old"": ""4.798900127410889"", ""new"": ""4.800099849700928""}}","Starbucks French Roast, Whole Bean Coffee, 2.5 lbs"
1143330!item.en-US,"{""review_count"": {""old"": ""2390"", ""new"": ""2392""}, ""review_ratings"": {""old"": ""4.795000076293945"", ""new"": ""4.795199871063232""}}","Ocean Spray Craisins, Whole Dried Cranberries, 64 oz"
1146603!item.en-US,"{""review_count"": {""old"": ""793"", ""new"": ""794""}, ""review_ratings"": {""old"": ""4.693600177764893"", ""new"": ""4.693999767303467""}}","LaCroix Sparkling Water, Lime, 12 fl oz, 24-count"
1147352!item.en-US,"{""review_count"": {""old"": ""2414"", ""new"": ""2416""}, ""review_ratings"": {""old"": ""4.321899890899658"", ""new"": ""4.320400238037109""}}","Kirkland Signature Bottled Water 16.9 fl oz, 40-count, 48 Case Pallet"
1147377!item.en-US,"{""review_count"": {""old"": ""1966"", ""new"": ""1967""}}","Kirkland Signature Organic Blue Agave, 36 oz, 2-count"
1161786!item.en-US,"{""review_count"": {""old"": ""996"", ""new"": ""997""}, ""review_ratings"": {""old"": ""4.214900016784668"", ""new"": ""4.21560001373291""}}","Rastelli’s USDA Choice Black Angus Filet Mignon (16/5 Oz. Per Filet Mignon), 16 Total count, 5 Lbs. Total"
1168029!item.en-US,"{""review_count"": {""old"": ""588"", ""new"": ""589""}, ""review_ratings"": {""old"": ""4.566299915313721"", ""new"": ""4.5671000480651855""}}","Kirkland Signature Protein Bars Chocolate Chip Cookie Dough 2.12 oz., 20-count"
1185317!item.en-US,"{""review_count"": {""old"": ""1144"", ""new"": ""1145""}, ""review_ratings"": {""old"": ""4.783199787139893"", ""new"": ""4.783400058746338""}}","Kellogg's Rice Krispies Treats, 0.78 oz, 60-count"
118677!item.en-US,"{""review_count"": {""old"": ""644"", ""new"": ""645""}, ""review_ratings"": {""old"": ""4.618000030517578"", ""new"": ""4.618599891662598""}}","Nestlé Toll House, Semi-Sweet Chocolate Chip Morsels, 72 oz"
1193197!item.en-US,"{""review_count"": {""old"": ""375"", ""new"": ""376""}, ""review_ratings"": {""old"": ""4.6427001953125"", ""new"": ""4.6356000900268555""}}","Kirkland Signature Organic Roasted Seaweed, 0.6 oz, 10-count"
1194731!item.en-US,"{""review_count"": {""old"": ""3531"", ""new"": ""3532""}}","Peet's Coffee French Roast K-Cup Coffee Pods, 60-count"
1194735!item.en-US,"{""name"": {""old"": ""Peet's Coffee Caf\u00e9 Domingo Single Serve Pods, 60-count"", ""new"": ""Peet's Coffee Caf\u00e9 Domingo K-Cup Coffee Pods, 60-count""}, ""product_description"": {""old"": ""Peet's Coffee Caf\u00e9 Domingo Single Serve Pods, 60-count"", ""new"": ""Peet's Coffee Caf\u00e9 Domingo K-Cup Coffee Pods, 60-count""}, ""review_count"": {""old"": ""1824"", ""new"": ""1827""}, ""review_ratings"": {""old"": ""4.752200126647949"", ""new"": ""4.752600193023682""}}","Peet's Coffee Café Domingo K-Cup Coffee Pods, 60-count"
1199479!item.en-US,"{""review_count"": {""old"": ""1464"", ""new"": ""1470""}, ""review_ratings"": {""old"": ""4.697400093078613"", ""new"": ""4.697299957275391""}}","M&M's Chocolate Candy, Peanut, 62 oz Jar"
120296!item.en-US,"{""review_count"": {""old"": ""1654"", ""new"": ""1655""}, ""review_ratings"": {""old"": ""4.675899982452393"", ""new"": ""4.67609977722168""}}","Kirkland Signature Colombian Supremo Coffee, Whole Bean, 3 lbs"
1203866!item.en-US,"{""review_count"": {""old"": ""1096"", ""new"": ""1097""}, ""review_ratings"": {""old"": ""4.553800106048584"", ""new"": ""4.554200172424316""}}","Sonoma Creamery Pepper Jack Crisps, 10 oz"
1205611!item.en-US,"{""review_count"": {""old"": ""5214"", ""new"": ""5215""}, ""review_ratings"": {""old"": ""4.682000160217285"", ""new"": ""4.68209981918335""}}","Cottonelle Fresh Care Flushable Wipes, 560 Wipes"
1209607!item.en-US,"{""review_count"": {""old"": ""2639"", ""new"": ""2640""}, ""review_ratings"": {""old"": ""4.774199962615967"", ""new"": ""4.7743000984191895""}}","Kirkland Signature Praline Pecans, 2.5 lbs"
1212860!item.en-US,"{""review_count"": {""old"": ""462"", ""new"": ""463""}, ""review_ratings"": {""old"": ""4.6016998291015625"", ""new"": ""4.596099853515625""}}","Kirkland Signature Soft & Chewy Granola Bars, 0.85 oz, 64-count"
121288!item.en-US,"{""review_count"": {""old"": ""3"", ""new"": ""4""}, ""review_ratings"": {""old"": ""2.3333001136779785"", ""new"": ""3.0""}}","Organic Crimini Mushrooms, 24 oz"
1214619!item.en-US,"{""review_count"": {""old"": ""1220"", ""new"": ""1223""}, ""review_ratings"": {""old"": ""4.366399765014648"", ""new"": ""4.366300106048584""}}","Northwest Fish Wild Alaskan Sockeye Salmon Fillets Total 25 Count, 1 Case Totaling 10 Lbs."
1217292!item.en-US,"{""review_count"": {""old"": ""2676"", ""new"": ""2680""}, ""review_ratings"": {""old"": ""4.434199810028076"", ""new"": ""4.434700012207031""}}","Kirkland Signature Organic Colombian Decaf Whole Bean Coffee, 2 lbs"
1217294!item.en-US,"{""review_count"": {""old"": ""1665"", ""new"": ""1668""}, ""review_ratings"": {""old"": ""4.461299896240234"", ""new"": ""4.459199905395508""}}","Kirkland Signature Organic Ethiopia Whole Bean Coffee, 2 lbs"
1242342!item.en-US,"{""review_count"": {""old"": ""357"", ""new"": ""359""}, ""review_ratings"": {""old"": ""4.69189977645874"", ""new"": ""4.693600177764893""}}","Kirkland Signature, Almond Milk, 1 qt, 12-count"
1244496!item.en-US,"{""review_count"": {""old"": ""454"", ""new"": ""455""}, ""review_ratings"": {""old"": ""4.28410005569458"", ""new"": ""4.285699844360352""}}","Noel Consorcio Serrano Ham Reserva Leg, 14 lbs"
1268515!item.en-US,"{""review_count"": {""old"": ""1937"", ""new"": ""1938""}, ""review_ratings"": {""old"": ""4.767199993133545"", ""new"": ""4.767300128936768""}}","Vacaville Fruit Company, Dried Fruit & Nut Grand Pine Slatted Pine Tray, 80 oz."
127509!item.en-US,"{""review_count"": {""old"": ""1832"", ""new"": ""1833""}, ""review_ratings"": {""old"": ""4.610799789428711"", ""new"": ""4.611000061035156""}}","Solo Heavyweight Plastic Fork, White, 500-count"
128163!item.en-US,"{""review_count"": {""old"": ""1933"", ""new"": ""1934""}, ""review_ratings"": {""old"": ""4.674600124359131"", ""new"": ""4.674799919128418""}}","Dixie Ultra 6-7/8"" Paper Plate, 300-count"
1290988!item.en-US,"{""review_count"": {""old"": ""6366"", ""new"": ""6367""}}","Peet's Coffee Nespresso Compatible Aluminum Capsules, 80-count"
1291267!item.en-US,"{""review_count"": {""old"": ""127"", ""new"": ""128""}, ""review_ratings"": {""old"": ""4.614200115203857"", ""new"": ""4.617199897766113""}}","Sencha Naturals Organic Matcha, 12 oz"
1299062!item.en-US,"{""price"": {""old"": ""20.99"", ""new"": ""21.49""}, ""listPrice"": {""old"": ""20.99"", ""new"": ""21.49""}}","Coca-Cola Mini, 7.5 fl oz, 30-count"
1300509!item.en-US,"{""review_count"": {""old"": ""1472"", ""new"": ""1474""}, ""review_ratings"": {""old"": ""4.792099952697754"", ""new"": ""4.792399883270264""}}","Kirkland Signature Nut Bars, 1.41 oz, 30-count"
1300658!item.en-US,"{""review_count"": {""old"": ""4301"", ""new"": ""4302""}, ""review_ratings"": {""old"": ""4.769100189208984"", ""new"": ""4.769199848175049""}}","Kirkland Signature Flex-Tech 13-Gallon Scented Kitchen Trash Bags, 200-count"
130317!item.en-US,"{""review_count"": {""old"": ""2805"", ""new"": ""2806""}, ""review_ratings"": {""old"": ""4.515100002288818"", ""new"": ""4.5152997970581055""}}","Kirkland Signature Puppy Formula Chicken, Rice and Vegetable Dog Food 20 lbs"
1318367!item.en-US,"{""review_count"": {""old"": ""4424"", ""new"": ""4426""}, ""review_ratings"": {""old"": ""4.736700057983398"", ""new"": ""4.736599922180176""}}","Nellie’s Laundry Soda, 400 Loads"
1321637!item.en-US,"{""review_count"": {""old"": ""314"", ""new"": ""313""}, ""review_ratings"": {""old"": ""4.678299903869629"", ""new"": ""4.690100193023682""}}","Kirkland Signature Italian Sausage and Beef Lasagna, 3 lbs, 2-count"
1324865!item.en-US,"{""review_count"": {""old"": ""408"", ""new"": ""409""}, ""review_ratings"": {""old"": ""3.7720999717712402"", ""new"": ""3.775099992752075""}}","Kirkland Signature Protein Bar, Variety Pack, 2.12 oz, 20-count"
132666!item.en-US,"{""review_count"": {""old"": ""634"", ""new"": ""635""}, ""review_ratings"": {""old"": ""4.681399822235107"", ""new"": ""4.6819000244140625""}}","Royal, Basmati Rice, 20 lbs"
1327935!item.en-US,"{""review_count"": {""old"": ""446"", ""new"": ""447""}, ""review_ratings"": {""old"": ""4.73769998550415"", ""new"": ""4.73829984664917""}}","Kirkland Signature, Evaporated Milk, 12 fl oz, 12-Count"
1334131!item.en-US,"{""review_count"": {""old"": ""273"", ""new"": ""274""}, ""review_ratings"": {""old"": ""4.857100009918213"", ""new"": ""4.857699871063232""}}","Pure Leaf Tea, Unsweetened, 16.9 fl oz, 18-count"
1343253!item.en-US,"{""review_count"": {""old"": ""1606"", ""new"": ""1607""}, ""review_ratings"": {""old"": ""4.744100093841553"", ""new"": ""4.744200229644775""}}","Kirkland Signature Elegant Plastic Plates, Variety Pack, White, 50-count"
1347776!item.en-US,"{""review_count"": {""old"": ""3300"", ""new"": ""3302""}, ""review_ratings"": {""old"": ""4.767600059509277"", ""new"": ""4.7677001953125""}}","Kirkland Signature Wild Flower Honey, 5 lbs"
1350660!item.en-US,"{""review_count"": {""old"": ""961"", ""new"": ""962""}, ""review_ratings"": {""old"": ""4.3059000968933105"", ""new"": ""4.302499771118164""}}",David’s Cookies Decadent Triple Chocolate made with mini Hershey’s Kisses and Reese’s Peanut Butter Cup Cookies Tin – 2 Count
1350663!item.en-US,"{""review_count"": {""old"": ""414"", ""new"": ""415""}, ""review_ratings"": {""old"": ""4.357500076293945"", ""new"": ""4.359000205993652""}}",David's Cookies Mango & Strawberry Cheesecake 2-count (28 Slices Total)
1351657!item.en-US,"{""review_count"": {""old"": ""107"", ""new"": ""106""}, ""review_ratings"": {""old"": ""4.841100215911865"", ""new"": ""4.839600086212158""}}","Sour Punch Twists, Variety, 180-count"
1365486!item.en-US,"{""review_count"": {""old"": ""1227"", ""new"": ""1228""}, ""review_ratings"": {""old"": ""4.649499893188477"", ""new"": ""4.649799823760986""}}","Quaker Instant Oatmeal, Variety Pack, 1.51 oz, 52-count"
1374492!item.en-US,"{""review_count"": {""old"": ""935"", ""new"": ""936""}, ""review_ratings"": {""old"": ""4.72730016708374"", ""new"": ""4.72760009765625""}}","Welch’s Fruit Snacks, .8 oz, 90-count"
1374674!item.en-US,"{""review_count"": {""old"": ""303"", ""new"": ""305""}, ""review_ratings"": {""old"": ""4.864699840545654"", ""new"": ""4.865600109100342""}}","Bequet Caramel, Celtic Sea Salt, 17.1 oz"
1376847!item.en-US,"{""review_count"": {""old"": ""3366"", ""new"": ""3367""}, ""review_ratings"": {""old"": ""4.628900051116943"", ""new"": ""4.629000186920166""}}","Sanders Milk Chocolate Sea Salt Caramels 36 oz., 2-pack"
1377067!item.en-US,"{""review_count"": {""old"": ""499"", ""new"": ""500""}, ""review_ratings"": {""old"": ""4.717400074005127"", ""new"": ""4.710000038146973""}}","Kirkland Signature Chewy Protein Bar, Peanut Butter & Semisweet Chocolate Chip, 1.41 oz, 42-Count"
1377354!item.en-US,"{""review_count"": {""old"": ""1130"", ""new"": ""1131""}, ""review_ratings"": {""old"": ""4.549600124359131"", ""new"": ""4.550000190734863""}}","Dorm Room Snack Box, 68-piece"
1381390!item.en-US,"{""review_count"": {""old"": ""3016"", ""new"": ""3018""}, ""review_ratings"": {""old"": ""4.582600116729736"", ""new"": ""4.582799911499023""}}","Kirkland Signature USDA Organic Whole Bean Blend 2 lb, 2-pack"
1383176!item.en-US,"{""review_count"": {""old"": ""851"", ""new"": ""852""}, ""review_ratings"": {""old"": ""4.661600112915039"", ""new"": ""4.6620001792907715""}}",Savanna Orchards Country Club Mix 30 oz 2-count
1389718!item.en-US,"{""review_count"": {""old"": ""2949"", ""new"": ""2951""}, ""review_ratings"": {""old"": ""4.7382001876831055"", ""new"": ""4.738399982452393""}}","Mayorga Café Cubano Roast, USDA Organic, Dark Roast, Whole Bean Coffee, 2lb, 2-pack"
1390413!item.en-US,"{""review_count"": {""old"": ""1653"", ""new"": ""1654""}, ""review_ratings"": {""old"": ""4.736199855804443"", ""new"": ""4.736400127410889""}}","Kirkland Signature Fancy Whole Cashews, 2.5 lbs"
1391546!item.en-US,"{""review_count"": {""old"": ""303"", ""new"": ""305""}, ""review_ratings"": {""old"": ""4.501699924468994"", ""new"": ""4.491799831390381""}}","Schwartz Brothers Bakery, Organic Everything Bagel Chips, 15 oz"
1392843!item.en-US,"{""review_count"": {""old"": ""641"", ""new"": ""642""}, ""review_ratings"": {""old"": ""4.547599792480469"", ""new"": ""4.545199871063232""}}","Chosen Foods Avocado Oil Spray, 13.5 oz, 2-count"
1396!item.en-US,"{""review_count"": {""old"": ""1987"", ""new"": ""1988""}, ""review_ratings"": {""old"": ""4.763500213623047"", ""new"": ""4.763599872589111""}}","Caffe D'Vita, Instant Mocha Cappuccino, 4 lbs"
1397147!item.en-US,"{""review_count"": {""old"": ""1059"", ""new"": ""1061""}, ""review_ratings"": {""old"": ""4.673299789428711"", ""new"": ""4.673900127410889""}}","Kirkland Signature Bar Soap with Shea Butter, 15 Bars"
1407434!item.en-US,"{""review_count"": {""old"": ""912"", ""new"": ""913""}, ""review_ratings"": {""old"": ""4.613999843597412"", ""new"": ""4.613399982452393""}}","Nongshim, Tonkotsu Ramen Bowl, 3.56 oz, 6-Count"
1412777!item.en-US,"{""review_count"": {""old"": ""1447"", ""new"": ""1448""}, ""review_ratings"": {""old"": ""4.761600017547607"", ""new"": ""4.76170015335083""}}","Universal Bakery Traditional Aussie Bites, 27 oz"
1421932!item.en-US,"{""review_count"": {""old"": ""1672"", ""new"": ""1673""}, ""review_ratings"": {""old"": ""4.791299819946289"", ""new"": ""4.791399955749512""}}","Dove Moisturizing Beauty Bar Soap Original, 3.75 oz, 16 Bars"
1421933!item.en-US,"{""review_count"": {""old"": ""1018"", ""new"": ""1020""}, ""review_ratings"": {""old"": ""4.836900234222412"", ""new"": ""4.8333001136779785""}}","Dove Moisturizing Beauty Bar Soap Sensitive Skin, 3.75 oz, 16 Bars"
1441075!item.en-US,"{""review_count"": {""old"": ""2508"", ""new"": ""2511""}, ""review_ratings"": {""old"": ""4.663899898529053"", ""new"": ""4.664299964904785""}}","Premier 30g Protein PLUS Energy and Immune Support Shakes 11 fl. oz., 18-pack, Pumpkin Spice"
1449725!item.en-US,"{""review_count"": {""old"": ""26"", ""new"": ""27""}, ""review_ratings"": {""old"": ""4.923099994659424"", ""new"": ""4.925899982452393""}}","NuTrail Nut Granola, Blueberry Cinnamon, 22 oz"
1452518!item.en-US,"{""review_count"": {""old"": ""1436"", ""new"": ""1438""}, ""review_ratings"": {""old"": ""4.588399887084961"", ""new"": ""4.586900234222412""}}","Kirkland Signature Platinum Performance UltraShine Dishwasher Detergent Pacs, 115-count"
1456660!item.en-US,"{""review_count"": {""old"": ""550"", ""new"": ""551""}, ""review_ratings"": {""old"": ""4.729100227355957"", ""new"": ""4.729599952697754""}}","Swiffer Sweeper Heavy Duty Dry Sweeping Cloth Refills, 50-count"
1466554!item.en-US,"{""review_count"": {""old"": ""3700"", ""new"": ""3702""}, ""review_ratings"": {""old"": ""4.756999969482422"", ""new"": ""4.757199764251709""}}","Vonbee Honey Citron & Ginger Tea, 4.4 lb, 2-pack"
1470561!item.en-US,"{""review_count"": {""old"": ""687"", ""new"": ""688""}, ""review_ratings"": {""old"": ""4.5721001625061035"", ""new"": ""4.56689977645874""}}",Harry & David Farmstand Gift Basket
1474436!item.en-US,"{""review_count"": {""old"": ""761"", ""new"": ""762""}, ""review_ratings"": {""old"": ""4.617599964141846"", ""new"": ""4.618100166320801""}}","Kirkland Signature Trail Mix, 4 lbs"
1475207!item.en-US,"{""review_count"": {""old"": ""361"", ""new"": ""362""}, ""review_ratings"": {""old"": ""4.26039981842041"", ""new"": ""4.262400150299072""}}","Terra Delyssa First Cold Press Extra Virgin Olive Oil 3L, Tin, 2-count"
1475487!item.en-US,"{""price"": {""old"": ""159.99"", ""new"": ""149.99""}}","D'Artagnan 13-piece Gourmet Roasting Ham & Luxury Charcuterie Gift Box, 12.5 lbs"
1481907!item.en-US,"{""review_count"": {""old"": ""395"", ""new"": ""398""}, ""review_ratings"": {""old"": ""4.531599998474121"", ""new"": ""4.535200119018555""}}","Kirkland Signature Funhouse Treats, Variety Pack, 92 oz"
